keep,2012-10-04,02:25:03,46.229.141.168,RU,Russian Federation,Tula,76,Tula,54.2021,37.6443,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; LG-E400 Build/GRK39F) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-10-04,02:25:34,1349332172286
keep,2012-05-30,11:14:59,46.41.119.181,RU,Russian Federation,Rostov-na-donu,61,Rostov,47.2313,39.7233,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-I9100 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-30,11:15:36,1338390897629:::Russia
keep,2012-10-31,16:29:23,46.53.195.128,BY,Belarus,Minsk,4,Minsk,53.9,27.5667,"Mozilla/5.0 (Linux; U; Android 2.3.4; ru-ru; WT19i Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-10-31,16:29:37,1351715361910:::Russia
keep,2012-05-29,10:17:05,46.61.205.98,RU,Russian Federation,Urus-martan,CI,Chechnya Republic,43.1305,45.5379,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; GT-N7000 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-05-29,10:18:06,1338315508088
keep,2012-05-05,16:05:42,46.71.3.170,AM,Armenia,Yerevan,11,Yerevan,40.1811,44.5136,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-S5670 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-05,16:06:23,1336248340167
keep,2012-08-31,00:50:28,46.8.146.168,RU,Russian Federation,Khabarovsk,30,Khabarovsk,48.4808,135.0928,"Mozilla/5.0 (Linux; U; Android 4.0.4; ru-ru; GT-I9300 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-08-31,00:51:07,1346388626997
keep,2012-06-18,06:41:31,49.0.138.238,MN,Mongolia,Ulaanbaatar,20,Ulaanbaatar,47.9167,106.9167,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-I8150 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-06-18,06:42:35,1340016042140:::Russia
keep,2012-11-09,06:56:33,77.50.112.103,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 2.3.5; ru-ru; HTC Wildfire S A510e Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-11-09,06:57:14,1352462180079:::Russia
keep,2012-05-30,00:35:48,79.111.32.71,RU,Russian Federation,Korolëv,47,Moskva,55.9142,37.8256,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-S5570I Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-30,00:36:32,1338352471710:::Sussex
keep,2012-06-12,16:21:53,79.55.69.105,IT,Italy,Macerata,10,Marche,43.3,13.45,"Mozilla/5.0 (Linux; U; Android 2.3.3; ru-ru; GT-I9001 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-06-12,18:58:43,1338943863316:::Sussex
